ArXiV id,Result,Where
2305.16591,Not found,
1906.0372,Not found,
1605.00361,Found,"Repo: github - ('rbardenet', 'dppmc')"
2211.12494,Not found,
2102.0208,Not found,
1709.06691,Not found,
1905.06982,Found,"Repo: github - ('IssamLaradji', 'GP_DRF')"
1906.11148,Not found,
2006.09044,Not found,
1611.06933,Not found,
1708.07747,Found,"Repo: github - ('zalandoresearch', 'fashion-mnist')"
2102.0401,Not found,
2110.08266,Not found,
2007.16196,Found,"Repo: github - ('manojpamk', 'pytorch_xvectors')"
2007.13145,Not found,
2212.09125,Not found,
1912.12055,Not found,
1707.08551,Not found,
1712.05976,Found,"Repo: github - ('borisbolliet', 'class_eos_fr_public')"
2207.12783,Found,"Repo: github - ('yl3800', 'EIGV')"
2204.0968,Not found,
2203.01044,Found,"Repo: github - ('THUDM', 'SelfKG')"
2208.13094,Not found,
2106.06158,Found,"Repo: github - ('ahmedfgad', 'GARI')"
2206.11038,Found,"Repo: github - ('flexi-framework', 'relexi')"
1809.09307,Not found,
2109.01100,Not found,
2010.1451,Not found,
1905.07808,Not found,
2204.09680,Not found,
2211.08333,Not found,
2008.11894,Found,"Repo: github - ('bigvideoresearch', 'SCC')"
2108.00117,Not found,
2004.14302,Found,"Repo: github - ('cl-tohoku', 'eval-via-selection')"
2302.05564,Not found,
2303.10439,Found,Repo: zenodo-record - 7865748
2008.06456,Not found,
1504.07433,Found,"Repo: github - ('hpparvi', 'PyTransit')"
2201.12195,Found,"Repo: github - ('MattWerenski', 'BCM')"
2207.03414,Found,"Repo: github - ('nadeemlab', 'DoseRTX')"
1906.02152,Found,"Repo: github - ('aklamun', 'Stablecoin_Deleveraging')"
1907.11111,Found,"Repo: github - ('lukasliebel', 'MultiDepth')"
2306.10019,Not found,
2109.09412,Not found,
1707.06588,Not found,
2004.11675,Not found,
2002.08233,Not found,
2007.13505,Found,"Repo: github - ('ml-jku', 'DeepRC')"
2110.01446,Not found,
1803.0787,Not found,
2105.12108,Found,"Repo: github - ('xC-ell', 'growth-history')"
2106.08808,Not found,
2308.09637,Not found,
2208.03118,Not found,
1906.03720,Not found,
1706.03883,Not found,
2110.14341,Not found,
2011.05402,Not found,
2010.02793,Found,"Repo: github - ('mianbreton', 'RR_code')"
2207.00921,Found,"Repo: github - ('rasheedja', 'PropaFP')"
2205.10986,Found,"Repo: github - ('Robbie-Xu', 'CPSD')"
2110.05966,Found,"Repo: github - ('Audio-WestlakeU', 'NBSS')"
2207.02242,Not found,
2211.08278,Found,"Repo: github - ('ika-rwth-aachen', 'DEviLOG')"
2104.06523,Not found,
2201.04768,Not found,
2108.0609,Not found,
2206.14504,Found,"Repo: github - ('frankkramer-lab', 'GERNERMED-pp')"
2106.10955,Not found,
1804.02747,Not found,
2302.08664,Found,"Repo: github - ('fzanart', 'Socialz')"
2304.14628,Not found,
1903.11991,Found,"Repo: github - ('cogsys-tuebingen', 'PAL')"
1903.01899,Found,"Repo: github - ('antoineBarbez', 'SMAD')"
1602.08793,Found,"Repo: github - ('xylimeng', 'fQR-testing')"
2308.12079,Not found,
1603.05867,Not found,
2003.08361,Found,"Repo: github - ('rbccps-iisc', 'iudx-resource-server')"
1912.10375,Found,"Repo: github - ('AI-secure', 'T3')"
2210.08826,Not found,
2210.15274,Not found,
1805.03383,Not found,
1904.08129,Found,"Repo: github - ('kngwyu', 'rogue-gym-agents-cog19')"
2303.10131,Not found,
2107.09947,Not found,
1803.07268,Found,"Repo: github - ('skyoung', 'MemTrack')"
2112.08866,Found,"Repo: github - ('stefanradev93', 'BayesFlow')"
2303.13729,Not found,
2204.12201,Not found,
1711.08200,Found,"Repo: github - ('MohsenFayyaz89', 'T3D')"
1901.05674,Found,"Repo: github - ('sola-da', 'Chameleon')"
2112.08777,Found,"Repo: github - ('aviclu', 'long-context-qa-contrast')"
2103.04388,Not found,
2102.07359,Found,"Repo: github - ('Vvrep', 'MASTER-electric_vehicle_charging_recommendation')"
2104.12087,Not found,
2201.01357,Found,"Repo: github - ('mgoplerud', 'FactorHet')"
2307.04291,Not found,
1708.02286,Not found,
1903.11056,Not found,
2109.12599,Not found,
2201.05757,Found,"Repo: github - ('wuzhy1ng', 'BlockchainSpider')"
2309.04197,Not found,
2109.09968,Found,"Repo: github - ('YunqiuXu', 'H-KGA')"
2309.03914,Not found,
1806.02199,Found,"Repo: github - ('ratschlab', 'SOM-VAE')"
2105.13649,Found,"Repo: github - ('vbcrlf', 'redy')"
1804.04128,Found,"Repo: github - ('awesome-davian', 'Text2Colors')"
2212.13788,Not found,
2209.10831,Not found,
2205.03313,Not found,
1907.13316,Found,"Repo: github - ('ryosuke-akashi', 'AtomREM')"
2008.1188,Not found,
2208.08888,Not found,
2307.10793,Not found,
1902.07153,Found,"Repo: github - ('Tiiiger', 'SGC')"
2004.14191,Found,"Repo: github - ('abenkhadra', 'bcov')"
2103.11405,Not found,
2204.03792,Not found,
1902.0311,Not found,
2108.01368,Not found,
1508.02911,Not found,
2111.1246,Not found,
2212.12678,Found,"Repo: github - ('rmpku', 'CIN')"
2108.06771,Not found,
2206.11022,Not found,
2006.09916,Found,"Repo: github - ('ElementAI', 'baal')"
2108.0058,Not found,
2110.00428,Not found,
2207.12086,Found,"Repo: github - ('nphdang', 'CCRAL')"
1804.00247,Found,"Repo: github - ('tensorflow', 'tensor2tensor')"
2106.02713,Found,"Repo: github - ('Pehlevan-Group', 'sgd_structured_features')"
2306.10021,Not found,
2109.03939,Found,"Repo: github - ('sIncerass', 'one_layer_lottery_ticket')"
1902.03984,Not found,
2202.10728,Not found,
1904.04174,Not found,
2206.00831,Not found,
1704.05840,Not found,
2204.08775,Not found,
2105.04459,Found,"Repo: github - ('uncbiag', 'ICON')"
2011.05013,Not found,
2003.03033,Found,"Repo: github - ('jjgo', 'shrinkbench')"
1903.10583,Not found,
1910.02369,Found,"Repo: github - ('ajholanda', 'k-index')"
2107.03200,Not found,
1909.04965,Found,"Repo: github - ('astro-alexis', 'magnotron-tts')"
1711.05101,Found,"Repo: github - ('GLambard', 'AdamW_Keras')"
2207.02464,Not found,
2305.16365,Not found,
2308.0994,Not found,
2103.06263,Not found,
2010.08138,Not found,
