Wall time,Step,Value
1597059139.224196,42,89.39049530029297
1597059152.6357386,167,87.89188385009766
1597059159.2517319,229,93.91522979736328
1597059189.2106507,474,92.30498504638672
1597059195.918031,536,92.84740447998047
1597059200.3075771,579,90.2917251586914
1597059201.0639756,586,91.3429183959961
1597059209.079333,634,106.29911804199219
1597059210.4769793,647,101.18307495117188
1597059217.606554,714,93.8420181274414
1597059227.6628861,808,94.76309967041016
1597059252.4482799,1014,95.40555572509766
1597059289.112925,1333,91.63700866699219
1597059294.777909,1385,99.69295501708984
1597059295.5421467,1392,99.15190124511719
1597059300.2110412,1436,109.74311065673828
1597059330.210421,1691,129.547119140625
1597059334.7959785,1734,122.21355438232422
1597059335.1191206,1737,106.73114776611328
1597059352.7156713,1877,119.82137298583984
1597059356.959409,1917,125.02104949951172
1597059369.4925175,2036,106.97848510742188
1597059401.1942096,2307,120.07247924804688
1597059409.8676004,2389,132.8609619140625
1597059423.1323366,2485,129.20211791992188
1597059423.2547235,2486,128.2648468017578
1597059444.3173478,2685,96.07275390625
1597059484.836068,3038,139.23435974121094
1597059507.908302,3230,113.22476959228516
1597059509.611465,3246,151.42819213867188
1597059515.950293,3305,137.94546508789062
1597059552.0291922,3618,133.2161407470703
1597059552.2213473,3620,149.51211547851562
1597059557.5430956,3670,138.07559204101562
1597059576.2310495,3821,138.55447387695312
1597059590.5991254,3956,134.75930786132812
1597059634.409128,4317,138.86819458007812
1597059643.2406847,4400,94.00432586669922
1597059653.0399272,4492,119.64668273925781
1597059654.837176,4509,131.65982055664062
1597059675.3874464,4676,131.902099609375
1597059687.5966063,4788,143.80233764648438
1597059709.9232066,4971,127.29507446289062
1597059727.0157034,5134,113.7860107421875
1597059752.421043,5345,133.45938110351562
1597059753.9113736,5359,141.7210693359375
1597059795.1756372,5723,106.81333923339844
1597059813.1180158,5864,141.5201873779297
1597059817.509268,5907,124.73648834228516
1597059826.2514164,5990,144.969970703125
1597059851.2764585,6200,142.84080505371094
1597059853.2674835,6219,146.04478454589844
1597059893.89127,6574,155.75833129882812
1597059907.2952323,6699,147.7686767578125
1597059908.636023,6711,141.49720764160156
1597059926.5601335,6854,141.14898681640625
1597059938.4310222,6966,98.53997039794922
1597059961.3588355,7155,161.1898193359375
1597059988.3719883,7382,143.5460662841797
1597059996.6086142,7460,146.72283935546875
1597059996.9593508,7463,135.25694274902344
1597060034.9015017,7798,147.45977783203125
1597060038.6209445,7833,144.2960968017578
1597060066.2201796,8066,108.86557006835938
1597060078.5514095,8180,152.7274169921875
1597060082.9580555,8221,140.68905639648438
1597060100.748147,8363,159.49183654785156
1597060115.1870909,8498,138.24473571777344
1597060116.206151,8508,135.76356506347656
1597060129.0890152,8601,142.55886840820312
1597060161.508022,8878,153.81939697265625
1597060167.4668462,8935,139.48269653320312
1597060204.8838842,9260,153.16871643066406
1597060227.1431184,9468,123.65290832519531
1597060239.306049,9554,126.21595764160156
1597060240.677437,9567,144.3586883544922
1597060254.473983,9698,122.5765380859375
1597060335.0488946,10399,141.18038940429688
1597060346.4391031,10479,112.22127532958984
1597060351.070399,10522,126.10020446777344
1597060360.012483,10607,129.81614685058594
1597060381.1171122,10780,93.57584381103516
1597060394.0848882,10902,149.5970458984375
1597060394.4073956,10905,116.9803466796875
1597060400.890162,10966,147.3928985595703
1597060409.5219173,11020,157.61444091796875
1597060418.144856,11102,114.3626708984375
1597060466.3475587,11532,142.3414306640625
1597060469.9604733,11566,150.5321044921875
1597060485.423766,11685,140.2527618408203
1597060493.307792,11759,143.58262634277344
1597060518.0890832,11969,96.44988250732422
1597060518.6105773,11974,139.23764038085938
1597060539.0508647,12164,123.24494934082031
1597060555.451938,12290,154.81060791015625
1597060623.6149082,12877,153.25242614746094
1597060640.170695,13034,112.89266967773438
1597060643.143011,13061,147.54147338867188
1597060705.1927109,13597,127.09850311279297
1597060707.6410239,13620,146.95547485351562
1597060730.616504,13810,119.38566589355469
1597060777.250859,14221,131.15914916992188
1597060785.0882444,14294,112.23978424072266
1597060789.8924954,14338,156.09161376953125
1597060804.3435874,14447,120.1019058227539
1597060824.3971267,14638,109.87262725830078
1597060827.517656,14668,139.474853515625
1597060842.3217337,14779,147.89944458007812
1597060852.047476,14873,133.255126953125
1597060921.0305872,15473,151.75547790527344
1597060924.6465003,15507,142.5577850341797
1597060955.052251,15764,132.8168487548828
1597060995.5158162,16116,147.7730255126953
1597061020.3504698,16321,130.30184936523438
1597061083.1930492,16857,131.03842163085938
1597061105.4653044,17066,137.62713623046875
1597061108.8231983,17097,113.84724426269531
1597061135.1873837,17317,131.64393615722656
1597061137.510145,17339,148.03213500976562
1597061162.1079133,17543,130.14007568359375
1597061163.545018,17557,130.1995849609375
1597061267.2276235,18451,116.13996887207031
1597061343.6518645,19116,156.1160125732422
1597061349.2184641,19169,138.35952758789062
1597061390.040565,19531,123.56502532958984
1597061404.4938197,19640,131.32220458984375
1597061405.9345021,19654,137.94691467285156
1597061414.0937302,19731,139.59507751464844
1597061445.3629165,19995,139.3956298828125
1597061451.4937027,20053,145.95755004882812
1597061452.4845035,20062,116.09640502929688
1597061460.5984867,20138,157.90370178222656
1597061474.8307853,20244,127.11187744140625
1597061475.634989,20252,156.01980590820312
1597061482.9677756,20323,140.95054626464844
1597061495.5407317,20440,143.24627685546875
1597061508.9429972,20539,119.8965072631836
1597061513.0949724,20578,138.1431884765625
1597061534.5291674,20779,110.6653823852539
1597061534.847196,20782,117.47110748291016
1597061545.3905957,20855,137.82371520996094
1597061569.3465028,21080,132.48194885253906
1597061579.0440922,21144,129.0746612548828
1597061588.33786,21232,108.35751342773438
1597061597.6170504,21319,143.5714111328125
1597061622.2300906,21523,94.6198959350586
1597061659.3515894,21848,95.64883422851562
1597061704.6511827,22245,116.58316802978516
1597061713.5411568,22330,127.85181427001953
1597061719.3594112,22358,133.30624389648438
1597061808.1736667,23138,138.6634063720703
1597061809.2548401,23148,132.38702392578125
1597061813.9071233,23192,131.72567749023438
1597061816.7810137,23218,150.78988647460938
1597061826.783789,23286,110.56390380859375
1597061834.691011,23361,149.64942932128906
1597061841.6252995,23427,131.2751922607422
1597061853.5427198,23540,111.64000701904297
1597061870.1923358,23670,126.1070327758789
1597061871.3366027,23681,131.09170532226562
1597061873.4658926,23701,144.7437286376953
1597061901.8707685,23938,145.3107147216797
1597061924.2874167,24147,143.64337158203125
1597061941.301185,24282,108.60707092285156
1597061941.4930887,24284,103.74528503417969
1597061945.5189948,24322,131.14077758789062
1597061980.0853279,24621,108.72059631347656
1597061990.6954963,24719,138.97462463378906
1597061991.5831242,24727,128.56028747558594
1597062012.865555,24901,139.656494140625
1597062016.3233585,24934,144.35028076171875
1597062053.396633,25253,127.4253158569336
1597062061.736186,25332,132.20001220703125
1597062068.0946548,25391,118.22688293457031
1597062118.683116,25812,123.11758422851562
1597062122.5374453,25847,134.51739501953125
1597062130.4997644,25921,130.1820831298828
1597062173.9452765,26303,131.06761169433594
1597062232.0797634,26797,116.8895263671875
1597062232.1839778,26798,140.9957733154297
1597062235.4653485,26829,108.90007781982422
1597062271.8246627,27142,145.7106170654297
1597062273.1402645,27154,138.90606689453125
1597062273.7041843,27159,131.63671875
1597062288.875611,27274,140.1265869140625
1597062313.4032516,27505,134.6693878173828
1597062326.562972,27603,140.21202087402344
1597062330.3351285,27638,98.9798812866211
1597062350.0962174,27825,109.1689224243164
1597062362.564165,27916,114.65463256835938
1597062421.3818643,28438,103.41371154785156
1597062435.2833607,28543,131.81814575195312
1597062483.7142286,28970,129.75669860839844
1597062486.5824358,28996,132.73570251464844
1597062493.4818318,29062,144.8457794189453
1597062510.9842114,29201,149.78981018066406
1597062517.509037,29263,124.25516510009766
1597062542.5981553,29471,110.83739471435547
1597062544.2826607,29487,142.30752563476562
1597062557.4888659,29611,131.7371368408203
1597062583.6472008,29829,126.23088073730469
1597062605.3818924,30005,145.41436767578125
1597062608.2031248,30031,137.4779052734375
1597062623.4391847,30174,109.90047454833984
1597062642.4093747,30327,95.24191284179688
1597062657.8349278,30470,143.66116333007812
1597062676.1750073,30612,119.45142364501953
1597062686.487829,30706,124.51118469238281
1597062687.977817,30720,135.80050659179688
1597062766.660928,31406,125.28899383544922
1597062770.7270942,31443,142.14794921875
1597062800.2779384,31696,130.06033325195312
1597062822.675008,31880,106.96739196777344
1597062828.667367,31936,146.34425354003906
1597062835.8911881,32004,120.34425354003906
1597062860.6669347,32207,137.02670288085938
1597062884.555811,32435,127.00708770751953
1597062899.0993512,32542,126.97816467285156
1597062911.3935888,32657,135.18222045898438
1597062925.4577172,32762,122.88367462158203
1597062939.4263437,32894,111.9518051147461
1597062940.3011408,32902,104.57183074951172
1597062954.4370768,33034,137.62136840820312
1597062972.7148833,33181,134.31271362304688
1597062982.3979895,33271,117.04045867919922
1597062989.9043198,33341,129.9252166748047
1597062996.4225733,33375,138.64828491210938
1597062999.4188259,33403,146.6291961669922
1597063037.920159,33737,137.0609130859375
1597063039.2298625,33749,105.25891876220703
1597063041.1124105,33768,140.62228393554688
1597063042.887611,33785,135.63766479492188
1597063048.6452742,33839,123.29862213134766
1597063052.5596719,33876,120.69731903076172
1597063056.528503,33913,119.89302062988281
1597063072.6075408,34036,114.37140655517578
1597063083.8364632,34141,108.96965789794922
1597063109.8704305,34362,139.39878845214844
1597063112.0967863,34383,97.54924774169922
1597063127.2212126,34525,135.8376922607422
1597063137.8909888,34599,103.03115844726562
1597063157.7610836,34783,134.2757110595703
1597063222.5919924,35333,129.12315368652344
1597063224.792851,35354,103.32110595703125
1597063227.2809649,35377,136.72633361816406
1597063238.4551716,35483,111.63602447509766
1597063251.054155,35573,111.15040588378906
1597063272.2497058,35771,106.95914459228516
1597063283.2939806,35849,140.1729278564453
1597063294.2752507,35953,103.78169250488281
1597063296.0864136,35970,100.05077362060547
1597063302.938448,36037,138.86488342285156
1597063328.453672,36246,144.7064208984375
1597063331.3912473,36275,121.76148986816406
1597063371.6723034,36629,109.410400390625
1597063374.830236,36659,139.54177856445312
1597063389.2733774,36767,111.44530487060547
1597063398.1255543,36850,124.52970886230469
1597063404.0569937,36907,123.02706909179688
1597063438.4933226,37202,110.53572845458984
1597063471.7772174,37489,101.84320831298828
1597063503.992454,37764,129.97323608398438
1597063515.787039,37876,127.47830200195312
1597063551.9511719,38192,121.59265899658203
1597063581.1042647,38439,102.59243774414062
1597063582.7897305,38455,114.1746826171875
1597063613.972901,38720,120.10359954833984
1597063626.6472743,38840,113.85271453857422
1597063644.7210886,38981,123.73966217041016
1597063681.4368854,39296,135.44728088378906
1597063728.1459043,39702,126.61320495605469
1597063731.1132994,39730,109.0224838256836
1597063739.5454783,39781,126.68550872802734
1597063749.6831377,39878,133.31863403320312
1597063752.958076,39909,128.23080444335938
1597063764.9620595,40020,123.35211944580078
1597063797.222295,40296,128.05844116210938
1597063821.8750181,40500,132.10931396484375
1597063837.3374007,40647,102.78306579589844
1597063839.0460353,40663,119.57917785644531
1597063839.4421208,40667,139.20323181152344
1597063845.8895626,40700,142.85728454589844
1597063848.0020719,40720,114.60832977294922
1597063855.7765849,40793,104.27767181396484
1597063884.8237948,41040,115.14519500732422
1597063906.6973739,41244,119.14540100097656
1597063909.5736573,41271,106.12647247314453
1597063919.7319386,41341,97.12037658691406
1597063940.6570385,41539,112.59910583496094
1597063942.3589797,41555,123.37525939941406
1597064009.7134588,42134,131.98362731933594
1597064046.3014314,42450,116.70396423339844
1597064048.2316184,42468,109.88603210449219
1597064073.3388991,42678,110.6202163696289
1597064171.0987654,43518,119.4612045288086
1597064180.5352175,43607,133.4118194580078
1597064184.1176438,43639,109.2315444946289
1597064191.7258523,43711,136.46493530273438
1597064194.6312876,43738,111.00831604003906
1597064195.010817,43742,125.876953125
1597064204.7520409,43805,104.7272720336914
1597064224.587473,43993,112.9060287475586
1597064236.0914092,44073,125.2169189453125
1597064249.6104548,44200,107.0226058959961
1597064250.3317583,44207,105.91809844970703
1597064254.8946366,44251,121.66764068603516
1597064260.3943677,44304,116.48900604248047
1597064293.064461,44585,106.40486145019531
1597064320.8160117,44816,108.6912841796875
1597064336.7037392,44964,120.38825225830078
1597064379.4335072,45310,116.35051727294922
1597064380.3302708,45319,146.6035614013672
1597064385.970902,45372,130.7358856201172
1597064400.2853694,45507,124.31675720214844
1597064419.5611432,45658,124.3017578125
1597064495.2335267,46318,126.19684600830078
1597064496.9740806,46334,134.442626953125
1597064505.346306,46413,128.6394805908203
1597064514.6604452,46499,116.48336791992188
1597064602.8970754,47241,119.41377258300781
1597064609.114648,47301,97.90953063964844
1597064642.6377392,47585,116.41398620605469
1597064648.4002705,47638,110.97988891601562
1597064651.720568,47669,123.2742691040039
1597064655.4613512,47705,111.29528045654297
1597064662.646069,47744,120.44671630859375
1597064677.2654285,47882,136.2908935546875
1597064684.0858986,47947,113.41937255859375
1597064686.4557555,47970,120.1698226928711
1597064700.6105192,48076,109.12152862548828
1597064712.0515888,48181,120.50835418701172
1597064716.9290755,48227,98.59321594238281
1597064751.1407907,48522,110.79269409179688
1597064788.1160643,48844,108.15953063964844
1597064839.6727204,49272,119.22820281982422
1597064848.0828495,49351,132.59555053710938
1597064861.3872032,49477,102.93592834472656
1597064923.761626,50006,117.61051177978516
1597064929.0511506,50056,128.25816345214844
1597064939.119521,50149,115.98578643798828
1597064940.7972908,50165,123.20973205566406
1597064947.0282915,50195,118.31826782226562
1597064954.8112142,50268,118.19591522216797
1597064996.6774528,50629,107.65433502197266
1597065020.197054,50819,110.78107452392578
1597065037.3666599,50979,123.40911102294922
1597065056.796057,51134,115.40808868408203
1597065066.582023,51227,122.30343627929688
1597065072.5147254,51282,131.78941345214844
1597065133.0069003,51798,121.02066040039062
1597065133.8582616,51806,103.77950286865234
1597065149.5056388,51954,127.52366638183594
1597065154.4631307,52001,111.20958709716797
1597065188.5911934,52292,123.36138153076172
1597065197.98812,52353,97.57291412353516
1597065214.698691,52510,118.5722427368164
1597065235.8348002,52682,115.21292114257812
1597065259.6971493,52906,104.02410125732422
1597065266.0882862,52939,118.00284576416016
1597065282.3424137,53092,112.12062072753906
1597065283.9370866,53107,131.6110382080078
1597065325.356758,53468,100.61544036865234
1597065353.6067033,53706,116.05036926269531
1597065354.366075,53713,115.23986053466797
