Wall time,Step,Value
1597144940.1977844,42,77.6273193359375
1597144951.6994426,167,87.18081665039062
1597144957.4412582,229,84.40926361083984
1597144985.346652,474,80.33134460449219
1597144991.0847464,536,86.30642700195312
1597144995.0803447,579,84.81432342529297
1597144995.734039,586,89.38047790527344
1597145000.1575046,634,80.20137023925781
1597145001.3527381,647,65.23683166503906
1597145012.3505464,714,85.33955383300781
1597145021.0370753,808,90.44194793701172
1597145040.2032735,1014,80.11856079101562
1597145074.673566,1333,86.3105697631836
1597145079.5180235,1385,77.4608383178711
1597145080.1770134,1392,86.17005920410156
1597145089.1679084,1436,75.15330505371094
1597145112.8663769,1691,89.5726318359375
1597145116.8775249,1734,76.45539855957031
1597145117.156948,1737,96.07075500488281
1597145135.0186486,1877,83.78753662109375
1597145138.7561054,1917,84.88429260253906
1597145149.8053174,2036,69.38459777832031
1597145179.741064,2307,87.74674224853516
1597145187.333087,2389,71.7198715209961
1597145201.1026163,2485,70.68943786621094
1597145201.199367,2486,79.30073547363281
1597145219.7037113,2685,71.27267456054688
1597145257.4148319,3038,90.58285522460938
1597145280.1351674,3230,82.72623443603516
1597145281.637914,3246,83.42503356933594
1597145287.1327274,3305,64.98204803466797
1597145320.9851482,3618,73.47282409667969
1597145321.1712136,3620,77.0045166015625
1597145325.797677,3670,75.48184967041016
1597145339.7763474,3821,72.1888427734375
1597145357.1427755,3956,64.5716552734375
1597145395.602577,4317,55.95358657836914
1597145403.3284914,4400,62.10587692260742
1597145411.8945582,4492,78.9419937133789
1597145413.468439,4509,67.33739471435547
1597145433.7975724,4676,60.81563186645508
1597145444.2271795,4788,64.4819107055664
1597145466.0525675,4971,49.45012664794922
1597145481.1801183,5134,75.20589447021484
1597145505.6802592,5345,60.55695343017578
1597145506.9786518,5359,76.473388671875
1597145545.6076279,5723,59.43403625488281
1597145558.8170445,5864,56.74375534057617
1597145562.8435638,5907,56.43810272216797
1597145575.4071531,5990,74.35584259033203
1597145594.8613527,6200,67.38846588134766
1597145596.6047719,6219,57.97920608520508
1597145634.3057191,6574,60.541748046875
1597145650.6346662,6699,48.562400817871094
1597145651.7567596,6711,67.16426086425781
1597145665.0491269,6854,67.13880157470703
1597145675.4786747,6966,71.33440399169922
1597145697.9184685,7155,55.741756439208984
1597145718.8137271,7382,51.81410598754883
1597145731.0524676,7460,54.210628509521484
1597145731.3354194,7463,61.10009765625
1597145767.2285683,7798,57.10357666015625
1597145770.5029688,7833,61.86762619018555
1597145792.0238845,8066,51.52009201049805
1597145807.5053864,8180,56.24925994873047
1597145811.3311028,8221,58.72275161743164
1597145824.4030817,8363,51.37683868408203
1597145841.837597,8498,79.66291809082031
1597145842.7732553,8508,61.95621871948242
1597145851.3850026,8601,49.91062927246094
1597145881.7722979,8878,58.314361572265625
1597145887.0140378,8935,57.09666442871094
1597145922.056587,9260,64.52959442138672
1597145941.2361004,9468,57.29853439331055
1597145954.200061,9554,60.034156799316406
1597145955.420982,9567,52.51472473144531
1597145967.523943,9698,58.04976272583008
1597146042.1565397,10399,55.61843490600586
1597146049.49,10479,53.59274673461914
1597146053.3783426,10522,68.73763275146484
1597146066.2780461,10607,60.22852325439453
1597146082.190252,10780,52.510711669921875
1597146093.4182403,10902,54.32666778564453
1597146093.6976185,10905,63.11240768432617
1597146104.4010801,10966,52.12017059326172
1597146109.4024801,11020,54.58805465698242
1597146116.8753765,11102,59.421688079833984
1597146161.5631378,11532,51.52730178833008
1597146164.6301005,11566,53.2067985534668
1597146180.5900471,11685,57.346168518066406
1597146187.4474716,11759,64.76078033447266
1597146211.722262,11969,57.47833251953125
1597146212.1910694,11974,54.11405563354492
1597146229.8657036,12164,58.007835388183594
1597146241.3927808,12290,54.816566467285156
1597146305.723396,12877,55.73330307006836
1597146325.2450895,13034,57.06715774536133
1597146327.7489872,13061,63.506351470947266
1597146382.4736912,13597,58.14456558227539
1597146384.5957325,13620,62.855262756347656
1597146407.227247,13810,64.36932373046875
1597146449.849012,14221,57.29288101196289
1597146456.6002817,14294,55.76642608642578
1597146460.6792235,14338,59.32027053833008
1597146475.7217128,14447,62.09905242919922
1597146493.303444,14638,63.159706115722656
1597146496.086717,14668,54.74900436401367
1597146506.2725394,14779,54.74745559692383
1597146520.0398772,14873,56.610050201416016
1597146580.2181458,15473,60.9135627746582
1597146588.493053,15507,58.902591705322266
1597146612.1554804,15764,60.10042190551758
1597146649.659548,16116,57.94405746459961
1597146673.6497169,16321,60.69694519042969
1597146728.168401,16857,65.37663269042969
1597146752.5325508,17066,52.254722595214844
1597146755.3846505,17097,72.19855499267578
1597146780.7102356,17317,61.91620635986328
1597146782.7422795,17339,56.171321868896484
1597146801.554136,17543,61.10226821899414
1597146802.8578224,17557,68.4200439453125
1597146900.5816953,18451,68.64844512939453
1597146972.1979544,19116,64.76246643066406
1597146977.1125402,19169,63.587520599365234
1597147015.7714612,19531,70.82655334472656
1597147025.9202516,19640,63.96372604370117
1597147027.2185984,19654,56.402889251708984
1597147039.4946718,19731,62.224578857421875
1597147063.8972905,19995,67.65287780761719
1597147069.320551,20053,63.87073516845703
1597147070.167783,20062,63.7354850769043
1597147082.2224562,20138,57.84566116333008
1597147092.1661134,20244,64.55413055419922
1597147092.9117205,20252,60.44969177246094
1597147099.492837,20323,69.15760803222656
1597147115.301346,20440,71.10667419433594
1597147124.4497373,20539,61.924198150634766
1597147128.0778446,20578,57.449119567871094
1597147151.824843,20779,75.45074462890625
1597147152.1035655,20782,58.59599685668945
1597147158.8847795,20855,69.1818618774414
1597147179.6794271,21080,60.06638717651367
1597147190.7704673,21144,66.37442779541016
1597147198.9299743,21232,64.44096374511719
1597147206.9746327,21319,75.6552505493164
1597147230.9552605,21523,57.17761993408203
1597147266.1101665,21848,65.87642669677734
1597147308.0724773,22245,67.08607482910156
1597147315.9822102,22330,68.75142669677734
1597147318.6090078,22358,66.15154266357422
1597147400.7617772,23138,65.30501556396484
1597147401.6841145,23148,66.1100082397461
1597147405.7705243,23192,74.33789825439453
1597147408.1284988,23218,76.08816528320312
1597147419.4932077,23286,70.74498748779297
1597147426.4531994,23361,66.12200927734375
1597147432.6421397,23427,68.29669952392578
1597147443.0445666,23540,69.38160705566406
1597147460.0653968,23670,62.04671096801758
1597147461.0717778,23681,77.96269226074219
1597147462.936558,23701,81.29978942871094
1597147489.8740995,23938,62.653404235839844
1597147509.3412223,24147,71.75790405273438
1597147521.7386687,24282,60.496307373046875
1597147521.9190319,24284,68.87425231933594
1597147530.539023,24322,62.108585357666016
1597147558.0418048,24621,64.86187744140625
1597147572.2292285,24719,74.54182434082031
1597147572.9736898,24727,72.60566711425781
1597147589.0135589,24901,69.04411315917969
1597147592.049068,24934,71.8286361694336
1597147626.6630683,25253,71.85558319091797
1597147633.9775515,25332,68.8893814086914
1597147644.5465503,25391,67.25501251220703
1597147688.6021152,25812,63.5527229309082
1597147691.87187,25847,68.539794921875
1597147698.6576045,25921,67.51103210449219
1597147738.9223814,26303,69.51299285888672
1597147794.4022405,26797,59.93815231323242
1597147794.5006392,26798,60.625125885009766
1597147797.4373116,26829,67.4913101196289
1597147831.4524574,27142,64.205810546875
1597147832.570672,27154,68.94014739990234
1597147833.033556,27159,68.17191314697266
1597147843.6556373,27274,78.88233947753906
1597147870.0123818,27505,74.50431060791016
1597147879.1626496,27603,65.23528289794922
1597147882.4165385,27638,75.77367401123047
1597147904.6713994,27825,74.44275665283203
1597147913.1189802,27916,74.22726440429688
1597147966.382963,28438,78.48329162597656
1597147981.2090774,28543,63.010955810546875
1597148025.780048,28970,64.36363983154297
1597148028.1918628,28996,76.27591705322266
1597148034.3241055,29062,78.63880157470703
1597148047.06754,29201,75.432861328125
1597148057.994383,29263,73.9861068725586
1597148077.247917,29471,75.06434631347656
1597148078.710112,29487,68.90654754638672
1597148095.5196297,29611,74.44195556640625
1597148115.5718613,29829,70.19185638427734
1597148137.2239277,30005,79.4735107421875
1597148139.632491,30031,88.46672058105469
1597148152.7106085,30174,73.627197265625
1597148172.0861175,30327,74.8070068359375
1597148185.3289983,30470,71.79496002197266
1597148198.4789429,30612,64.26588439941406
1597148212.3144426,30706,73.56924438476562
1597148213.62564,30720,73.84734344482422
1597148287.1051917,31406,68.17399597167969
1597148290.5662732,31443,88.05716705322266
1597148319.1974716,31696,72.92436981201172
1597148336.1353295,31880,74.63115692138672
1597148341.179989,31936,70.96084594726562
1597148347.475852,32004,75.56045532226562
1597148371.5328722,32207,62.87364959716797
1597148397.730428,32435,74.07489013671875
1597148407.762201,32542,79.54198455810547
1597148418.2970269,32657,79.48587036132812
1597148433.2554271,32762,77.37359619140625
1597148445.4496322,32894,65.8647232055664
1597148446.1777296,32902,74.80493927001953
1597148458.2957304,33034,76.66620635986328
1597148477.127261,33181,71.33724975585938
1597148485.3539498,33271,76.12644958496094
1597148491.7556872,33341,80.46755981445312
1597148494.8885088,33375,65.64264678955078
1597148497.4700284,33403,74.53291320800781
1597148533.3666968,33737,79.59539031982422
1597148534.4861176,33749,76.50221252441406
1597148536.2540493,33768,75.31358337402344
1597148537.838587,33785,83.32642364501953
1597148547.9670599,33839,73.06829071044922
1597148551.3913372,33876,79.83002471923828
1597148554.8235176,33913,77.83936309814453
1597148565.9592102,34036,79.68660736083984
1597148575.715502,34141,77.27130889892578
1597148601.2190812,34362,74.06372833251953
1597148603.1788561,34383,73.78692626953125
1597148621.426061,34525,72.69721984863281
1597148628.2775016,34599,73.16270446777344
1597148645.1494749,34783,77.14557647705078
1597148706.1770272,35333,69.6998062133789
1597148708.063054,35354,76.51156616210938
1597148710.1344378,35377,73.21017456054688
1597148719.85648,35483,83.62149810791016
1597148733.3511305,35573,74.76880645751953
1597148751.4107552,35771,77.0710220336914
1597148758.6327748,35849,68.74836730957031
1597148773.5500364,35953,70.4782943725586
1597148775.1063228,35970,74.59899139404297
1597148781.225742,36037,67.86937713623047
1597148800.4401762,36246,67.39619445800781
1597148808.4074337,36275,81.57054901123047
1597148846.357308,36629,80.67271423339844
1597148849.1334083,36659,73.46733093261719
1597148859.0992649,36767,85.46836853027344
1597148866.7227933,36850,77.87113189697266
1597148872.0268753,36907,63.77523422241211
1597148904.3663259,37202,78.40693664550781
1597148936.078766,37489,84.74224090576172
1597148966.6674426,37764,67.35206604003906
1597148976.8852901,37876,73.9698257446289
1597149011.286521,38192,78.19951629638672
1597149039.3689818,38439,83.15923309326172
