Step,TrainAcc,EvalAcc,TestAcc
2.000000,0.246005,0.300781,0.134494
1.700000,0.993697,0.914844,0.865506
1.600000,0.993630,0.912500,0.872231
1.500000,0.993941,0.910547,0.864715
1.400000,0.993675,0.911523,0.902888
1.300000,0.993763,0.907031,0.891218
1.200000,0.993963,0.906250,0.861452
1.100000,0.993919,0.902930,0.880637
1.000000,0.993874,0.900000,0.883109
0.900000,0.994252,0.896289,0.860759
0.800000,0.993896,0.893164,0.869956
0.700000,0.992432,0.881250,0.833366
0.600000,0.991522,0.875000,0.837322
0.500000,0.989258,0.866992,0.838706
0.100000,0.867387,0.799414,0.789557
